Relic Name,#,Notes
Translation Scrolls,26,"**__Translation Scrolls__**

**Description:** The Translation Scroll, a collection of ancient parchments inscribed with mystical runes, serves as a key to unlocking the secrets hidden within the enigmatic pages of the Book of Mudora. Each scroll bears unique markings, intricately woven to resonate with the magical essence of the tome it seeks to decipher. Bound together in a weathered tome or scattered across distant lands, these scrolls hold the power to unveil the wisdom and knowledge preserved within the pages of the ancient text.

**Functionality:** Essential for unlocking the cryptic passages of the Book of Mudora, the Translation Scrolls are imbued with a magical resonance that resonates with the arcane language of the tome. Individually, each scroll possesses a fragment of the translation required to decode the ancient text, but it is only when all 26 scrolls are brought together that their true power is revealed. As each scroll is added to the collection, it contributes its unique translation, gradually unveiling the hidden meanings and secrets concealed within the Book of Mudora's pages.

**Origins:** Crafted by sages and scholars of old, the Translation Scrolls were created with the sole purpose of unlocking the mysteries of the Book of Mudora. Drawing upon ancient rituals and arcane incantations, these scrolls were infused with the essence of the tome itself, granting them the power to decipher its cryptic language. Though the exact origins of the scrolls remain shrouded in mystery, their significance in the pursuit of knowledge and enlightenment is undeniable.

**Uses:** The primary function of the Translation Scrolls is to unlock the secrets hidden within the cryptic pages of the Book of Mudora. Individually inscribed with unique markings and mystical runes, each scroll holds a fragment of the translation required to decipher the ancient text. As adventurers collect each of the 26 scrolls and bring them together, they gradually unveil the hidden meanings and wisdom preserved within the tome, gaining access to ancient prophecies, spells, and historical records.
"
Tattered Diary: Entry 12,1,"**__Tattered Diary Entry 12__**

Last night, something strange happened. I was alone, gazing at the moon, when I heard a voice. It whispered to me, telling me I'm different, that I have a power to change Hyrule's fate. At first, I didn't believe it. Me, special? But then, I saw it happen. The blight, once terrifying, obeyed my command as if I were its master.

It's unsettling, this realization of power. Yet, deep down, I feel its truth. I am not ordinary. I possess a unique ability to shape the world around me.

Others may fear what I can do, but I am not afraid. I will wield this power to bring about change, to mold Hyrule according to my will. The voice spoke the truth. I am destined for greatness, and I will not be deterred.
"
Translation Scroll Volume 01,1,"**__Translation Scroll Volume 01: Scroll of Alphabetic Conversion__**
*Description:* This scroll is imbued with ancient magic that facilitates the translation of one letter into another within the Book of Mudora's cryptic language. When the letter ""Y"" is encountered, it shall reveal the true meaning of ""A"", unraveling the mysteries hidden within the tome's pages."
Translation Scroll Volume 02,1,"**__Translation Scroll Volume 02: Scroll of Phonetic Transformation__**
*Description:* Bearing the power to transmute the letter ""P"" into the symbol ""B"" within the sacred text of the Book of Mudora, this scroll serves as a key to unlocking the wisdom held within its pages. Through its enchantment, seekers of knowledge may decode the secrets concealed by the ancient sages.
"
Translation Scroll Volume 03,1,"**__Translation Scroll Volume 03: Scroll of Lexical Metamorphosis__**
*Description:* With the utterance of the letter ""L"", this scroll reveals its transformative magic, transcribing it into the venerable symbol ""C"" within the pages of the Book of Mudora. Through its guidance, the barriers of language are breached, granting access to the profound wisdom enshrined within."
Translation Scroll Volume 04,1,"**__Translation Scroll Volume 04: Scroll of Transcendent Transmutation__**
*Description:* Marked with the sigil of ""T"", this scroll possesses the mystical power to metamorphose it into the revered symbol ""D"" within the sacred texts of the Book of Mudora. Its arcane enchantment paves the way for seekers to navigate the intricate passages of ancient knowledge, unlocking the mysteries veiled by time."
Translation Scroll Volume 05,1,"**__Translation Scroll Volume 05: Scroll of Esoteric Transcription__**
*Description:* Bearing the letter ""A"" as its key, this scroll illuminates the path to enlightenment by transposing it into the esteemed symbol ""E"" within the pages of the Book of Mudora. Through its guidance, the seeker is granted access to the profound insights concealed within the depths of the tome."
Translation Scroll Volume 06,1,"**__Translation Scroll Volume 06: Scroll of Verbal Revelation__**
*Description:* Etched with the glyph of ""V"", this scroll holds the power to unveil the truth hidden within the ancient tomes by transforming it into the sacred symbol ""F"". With each revelation, the seeker's journey into the realm of knowledge is further illuminated, guided by the ancient wisdom contained within."
Translation Scroll Volume 07,1,"**__Translation Scroll Volume 07: Scroll of Glyphic Conversion__**
*Description:* Bearing the enigmatic letter ""K,"" this scroll possesses the arcane ability to transmute it into the revered symbol ""G"" within the hallowed pages of the Book of Mudora. As the seeker embarks on their quest for enlightenment, this scroll serves as a beacon, guiding them through the labyrinthine corridors of ancient wisdom."
Translation Scroll Volume 08,1,"**__Translation Scroll Volume 08: Scroll of Hieroglyphic Transmutation__**
*Description:* Emblazoned with the sacred mark of ""R,"" this scroll holds the power to transform it into the esteemed symbol ""H"" within the venerable texts of the Book of Mudora. With each revelation, the seeker's understanding is deepened, as they unlock the secrets concealed within the depths of time."
Translation Scroll Volume 09,1,"**__Translation Scroll Volume 09: Scroll of Enigmatic Translation__**
*Description:* Carrying the letter ""E"" as its key, this scroll unveils the hidden truths of the ancient tomes by transposing it into the revered symbol ""I"" within the pages of the Book of Mudora. Through its guidance, the seeker is initiated into the mysteries of the ages, as they delve deeper into the labyrinth of knowledge."
Translation Scroll Volume 10,1,"**__Translation Scroll Volume 10: Scroll of Arcane Deciphering__**
*Description:* Adorned with the symbol ""Z,"" this scroll possesses the mystical potency to metamorphose it into the esteemed symbol ""J"" within the sacred texts of the Book of Mudora. Through its enchantment, seekers are bestowed with the key to unlock the arcane wisdom concealed within the tome's ancient pages."
Translation Scroll Volume 11,1,"**__Translation Scroll Volume 11: Scroll of Mystical Conversion__**
*Description:* Bearing the mark of ""G,"" this scroll holds the power to transmute it into the revered symbol ""K"" within the hallowed passages of the Book of Mudora. As seekers embark on their quest for enlightenment, this scroll serves as a guiding light, illuminating the path to ancient wisdom."
Translation Scroll Volume 12,1,"**__Translation Scroll Volume 12: Scroll of Linguistic Metamorphosis__**
*Description:* Etched with the glyph ""M,"" this scroll embodies the mystical ability to transmute it into the esteemed symbol ""L"" within the venerable pages of the Book of Mudora. Through its guidance, seekers unravel the enigmatic language of the ancients, unlocking the secrets concealed within the tome's sacred texts."
Translation Scroll Volume 13,1,"**__Translation Scroll Volume 13: Scroll of Symbolic Transcription__**
*Description:* Imbued with the symbol ""S,"" this scroll possesses the arcane energy to transcribe it into the revered symbol ""M"" within the ancient texts of the Book of Mudora. As seekers delve into its pages, this scroll serves as a conduit, channeling the wisdom of the ages to those who dare to unlock its secrets."
Translation Scroll Volume 14,1,"**__Translation Scroll Volume 14: Scroll of Arcane Metamorphosis__**
*Description:* Marked with the enigmatic sigil ""H,"" this scroll holds the power to transform it into the esteemed symbol ""N"" within the hallowed passages of the Book of Mudora. Through its guidance, seekers navigate the labyrinthine corridors of ancient knowledge, uncovering the hidden truths that lie within."
Translation Scroll Volume 15,1,"**__Translation Scroll Volume 15: Scroll of Transcendental Transcription__**
*Description:* Bearing the symbol ""U,"" this scroll embodies the mystical potency to transcribe it into the revered symbol ""O"" within the sacred texts of the Book of Mudora. As seekers embark on their quest for enlightenment, this scroll serves as a beacon, guiding them through the depths of ancient wisdom."
Translation Scroll Volume 16,1,"**__Translation Scroll Volume 16: Scroll of Linguistic Revelation__**
*Description:* Adorned with the symbol ""B,"" this scroll possesses the arcane essence to metamorphose it into the esteemed symbol ""P"" within the ancient manuscripts of the Book of Mudora. As seekers immerse themselves in its teachings, this scroll acts as a conduit, unlocking the profound wisdom hidden within the tome's cryptic pages."
Translation Scroll Volume 17,1,"**__Translation Scroll Volume 17: Scroll of Symbolic Transmutation__**
*Description:* Emblazoned with the mark ""X,"" this scroll holds the power to transmute it into the revered symbol ""Q"" within the hallowed passages of the Book of Mudora. Through its guidance, seekers traverse the intricate web of ancient knowledge, deciphering the mysteries that have eluded scholars for centuries."
Translation Scroll Volume 18,1,"**__Translation Scroll Volume 18: Scroll of Sacred Conversion__**
*Description:* Carrying the enigmatic symbol ""N,"" this scroll embodies the mystical energy to transcribe it into the esteemed symbol ""R"" within the sacred texts of the Book of Mudora. With each revelation, seekers deepen their understanding, unraveling the secrets veiled by the passage of time."
Translation Scroll Volume 19,1,"**__Translation Scroll Volume 19: Scroll of Mystical Transcription__**
*Description:* Etched with the glyph ""C,"" this scroll possesses the arcane potential to transform it into the esteemed symbol ""S"" within the ancient manuscripts of the Book of Mudora. As seekers embark on their journey of discovery, this scroll serves as a conduit, revealing the hidden truths encoded within the tome's enigmatic pages."
Translation Scroll Volume 20,1,"**__Translation Scroll Volume 20: Scroll of Arcane Metamorphosis__**
*Description:* Bearing the mark ""D,"" this scroll holds the power to transmute it into the revered symbol ""T"" within the hallowed passages of the Book of Mudora. Through its guidance, seekers unlock the ancient wisdom preserved within the tome, gaining insight into the mysteries of the cosmos."
Translation Scroll Volume 21,1,"**__Translation Scroll Volume 21: Scroll of Universal Translation__**
*Description:* Carrying the symbol ""I,"" this scroll embodies the mystical essence to transcribe it into the esteemed symbol ""U"" within the sacred texts of the Book of Mudora. With each revelation, seekers transcend the limitations of mortal understanding, tapping into the universal truths concealed within the tome's cryptic pages."
Translation Scroll Volume 22,1,"**__Translation Scroll Volume 22: Scroll of Esoteric Conversion__**
*Description:* Adorned with the symbol ""J,"" this scroll possesses the arcane power to metamorphose it into the esteemed symbol ""V"" within the ancient manuscripts of the Book of Mudora. As seekers delve into its teachings, this scroll acts as a key, unlocking the profound secrets hidden within the tome's enigmatic passages."
Translation Scroll Volume 23,1,"**__Translation Scroll Volume 23: Scroll of Mystic Transmutation__**
*Description:* Emblazoned with the mark ""F,"" this scroll holds the power to transmute it into the revered symbol ""W"" within the hallowed passages of the Book of Mudora. Through its guidance, seekers navigate the intricate tapestry of ancient knowledge, unraveling the mysteries that lie at the heart of existence."
Translation Scroll Volume 24,1,"**__Translation Scroll Volume 24: Scroll of Enigmatic Revelation__**
*Description:* Carrying the enigmatic symbol ""Q,"" this scroll embodies the mystical energy to transcribe it into the esteemed symbol ""X"" within the sacred texts of the Book of Mudora. With each revelation, seekers penetrate the veil of illusion, gaining insight into the hidden truths that govern the universe."
Translation Scroll Volume 25,1,"**__Translation Scroll Volume 25: Scroll of Mystical Metamorphosis__**
*Description:* Marked with the symbol ""O,"" this scroll possesses the arcane essence to transmute it into the esteemed symbol ""Y"" within the ancient manuscripts of the Book of Mudora. As seekers immerse themselves in its teachings, this scroll acts as a conduit, revealing the profound insights hidden within the tome's cryptic pages."
Translation Scroll Volume 26,1,"**__Translation Scroll Volume 26: Scroll of Celestial Transcription__**
*Description:* Bearing the mark ""W,"" this scroll holds the power to transmute it into the revered symbol ""Z"" within the hallowed passages of the Book of Mudora. Through its guidance, seekers unlock the celestial wisdom encoded within the tome, gaining enlightenment that transcends mortal understanding."
